#         t          x          y          z         vx         vy         vz
      0.000    -98.560   -119.990   -127.760    -28.430    173.920     93.230
      0.100 127800.250-953631.277-562139.704  -2594.026  15897.978   8801.292
      0.200-5472904.5392556158190.499539485386.645    -85.707  -5360.961  -1919.468
      0.300-547359.114-1480631297.81937624618.670      0.100     -1.258      0.039
      0.400 -54735.7181703522740.5503732079.689      0.100     -2.401      0.098
      0.500  -5473.472-1683014897.225 373188.579      0.100     -2.076      0.100
      0.600   -547.2471685078660.347  37318.938      0.100     -2.102      0.100
      0.700    -54.625-1684872610.583   3731.994      0.100     -2.100      0.100
      0.800     -5.3621684893027.514    373.299      0.100     -2.100      0.100
      0.900     -0.436-1684891174.856     37.430      0.100     -2.100      0.100
      1.000      0.0561684891171.118      3.843      0.100     -2.100      0.100
      1.100      0.106-1684891360.492      0.484      0.100     -2.100      0.100
      1.200      0.1111684891152.555      0.148      0.100     -2.100      0.100
      1.300      0.111-1684891362.348      0.115      0.100     -2.100      0.100
      1.400      0.1111684891152.369      0.111      0.100     -2.100      0.100
      1.500      0.111-1684891362.367      0.111      0.100     -2.100      0.100
      1.600      0.1111684891152.367      0.111      0.100     -2.100      0.100
      1.700      0.111-1684891362.367      0.111      0.100     -2.100      0.100
      1.800      0.1111684891152.367      0.111      0.100     -2.100      0.100
      1.900      0.111-1684891362.367      0.111      0.100     -2.100      0.100
      2.000      0.1111684891152.367      0.111      0.100     -2.100      0.100
      2.100      0.111-1684891362.367      0.111      0.100     -2.100      0.100
      2.200      0.1111684891152.367      0.111      0.100     -2.100      0.100
      2.300      0.111-1684891362.367      0.111      0.100     -2.100      0.100
      2.400      0.1111684891152.367      0.111      0.100     -2.100      0.100
      2.500      0.111-1684891362.367      0.111      0.100     -2.100      0.100
      2.600      0.1111684891152.367      0.111      0.100     -2.100      0.100
      2.700      0.111-1684891362.367      0.111      0.100     -2.100      0.100
      2.800      0.1111684891152.367      0.111      0.100     -2.100      0.100
      2.900      0.111-1684891362.367      0.111      0.100     -2.100      0.100
      3.000      0.1111684891152.367      0.111      0.100     -2.100      0.100
      3.100      0.111-1684891362.367      0.111      0.100     -2.100      0.100
